Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46
1/15/2001,2001,1,89.28,111.6,148.8,119.04,89.28,148.8,89.28,126.48,126.48,141.36,148.8,148.8,148.8,163.68,52.08,126.48,186,133.92,156.24,104.16,148.8,171.12,89.28,148.8,163.68,141.36,156.24,163.68,186,96.72,141.36,148.8,133.92,163.68,66.96,156.24,119.04,119.04,96.72,133.92,156.24,156.24,156.24,126.48,119.04,163.68
2/15/2001,2001,2,100.8,127.68,194.88,94.08,100.8,168,94.08,134.4,141.12,161.28,181.44,188.16,194.88,201.6,87.36,174.72,221.76,181.44,201.6,127.68,188.16,188.16,87.36,194.88,161.28,188.16,147.84,201.6,228.48,141.12,201.6,201.6,188.16,181.44,73.92,208.32,141.12,141.12,107.52,168,174.72,168,168,114.24,161.28,208.32
3/15/2001,2001,3,29.76,37.2,81.84,66.96,29.76,96.72,44.64,81.84,74.4,74.4,74.4,74.4,81.84,89.28,52.08,81.84,89.28,89.28,81.84,66.96,89.28,96.72,29.76,89.28,104.16,89.28,104.16,81.84,81.84,66.96,89.28,81.84,81.84,81.84,22.32,59.52,52.08,52.08,29.76,96.72,96.72,96.72,96.72,74.4,96.72,81.84
4/15/2001,2001,4,79.2,93.6,93.6,72,72,115.2,36,100.8,122.4,122.4,144,136.8,144,79.2,57.6,93.6,72,108,93.6,100.8,93.6,50.4,72,93.6,36,100.8,28.8,93.6,86.4,72,100.8,93.6,122.4,28.8,36,28.8,122.4,122.4,86.4,108,108,108,108,79.2,72,72
5/15/2001,2001,5,7.44,7.44,0,0,0,0,0,7.44,0,0,0,0,0,0,7.44,0,0,0,0,7.44,0,0,0,0,0,0,0,0,7.44,7.44,7.44,7.44,7.44,0,0,0,7.44,7.44,0,7.44,0,0,0,0,7.44,0
6/15/2001,2001,6,0,0,28.8,0,0,0,0,0,7.2,0,7.2,7.2,7.2,21.6,21.6,28.8,28.8,28.8,28.8,0,21.6,21.6,0,21.6,14.4,21.6,14.4,14.4,14.4,7.2,7.2,7.2,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,28.8,36
7/15/2001,2001,7,7.44,7.44,0,0,7.44,14.88,0,14.88,7.44,0,0,0,0,0,7.44,0,0,0,0,22.32,0,0,7.44,0,0,0,0,0,0,7.44,7.44,0,7.44,0,0,0,14.88,14.88,7.44,22.32,7.44,7.44,7.44,7.44,14.88,0
8/15/2001,2001,8,0,0,0,0,0,0,0,7.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0
9/15/2001,2001,9,0,0,21.6,7.2,0,7.2,0,7.2,7.2,7.2,14.4,14.4,14.4,21.6,21.6,28.8,14.4,21.6,21.6,7.2,21.6,14.4,0,21.6,14.4,21.6,14.4,14.4,14.4,14.4,14.4,14.4,14.4,7.2,0,7.2,0,0,0,7.2,7.2,7.2,7.2,7.2,28.8,21.6
10/15/2001,2001,10,14.88,14.88,44.64,14.88,14.88,22.32,7.44,22.32,22.32,22.32,22.32,22.32,22.32,44.64,22.32,52.08,37.2,52.08,44.64,14.88,52.08,37.2,14.88,52.08,29.76,52.08,29.76,52.08,52.08,29.76,37.2,29.76,29.76,29.76,7.44,29.76,22.32,22.32,14.88,22.32,22.32,22.32,22.32,14.88,29.76,37.2
