Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
1/15/2005,2005,1,171.12,178.56,171.12,148.8,186,111.6,133.92,148.8,104.16,104.16,141.36,148.8,141.36,81.84,81.84,126.48,111.6,89.28,74.4,66.96,111.6
2/15/2005,2005,2,107.52,100.8,100.8,80.64,94.08,80.64,73.92,94.08,87.36,100.8,94.08,94.08,87.36,94.08,60.48,73.92,67.2,53.76,40.32,33.6,67.2
3/15/2005,2005,3,156.24,148.8,126.48,119.04,171.12,89.28,104.16,119.04,81.84,81.84,111.6,111.6,96.72,44.64,59.52,96.72,89.28,66.96,37.2,37.2,37.2
4/15/2005,2005,4,86.4,72,50.4,50.4,64.8,36,43.2,43.2,36,36,36,28.8,28.8,28.8,21.6,28.8,28.8,21.6,21.6,21.6,28.8
5/15/2005,2005,5,186,148.8,104.16,81.84,148.8,44.64,52.08,44.64,29.76,29.76,44.64,52.08,52.08,37.2,44.64,66.96,66.96,44.64,29.76,29.76,29.76
6/15/2005,2005,6,43.2,43.2,28.8,28.8,50.4,14.4,21.6,21.6,14.4,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0
7/15/2005,2005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2005,2005,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2005,2005,9,0,0,0,0,0,0,0,7.2,0,0,7.2,7.2,7.2,0,0,0,0,0,0,0,7.2
10/15/2005,2005,10,14.88,22.32,22.32,14.88,37.2,7.44,7.44,7.44,0,0,7.44,7.44,7.44,0,7.44,0,0,7.44,14.88,14.88,22.32
11/15/2005,2005,11,165.6,136.8,93.6,64.8,108,36,43.2,28.8,21.6,7.2,14.4,7.2,7.2,0,0,7.2,7.2,7.2,7.2,0,7.2
12/15/2005,2005,12,461.28,453.84,401.76,386.88,543.12,275.28,305.04,245.52,200.88,119.04,178.56,156.24,119.04,52.08,44.64,96.72,81.84,52.08,22.32,29.76,29.76
1/15/2006,2006,1,238.08,200.88,141.36,133.92,215.76,89.28,104.16,111.6,81.84,89.28,111.6,104.16,104.16,89.28,89.28,126.48,126.48,96.72,52.08,44.64,52.08
2/15/2006,2006,2,147.84,134.4,107.52,87.36,134.4,53.76,60.48,53.76,47.04,33.6,40.32,33.6,26.88,20.16,13.44,33.6,26.88,20.16,6.72,6.72,13.44
3/15/2006,2006,3,267.84,260.4,230.64,223.2,334.8,163.68,178.56,178.56,141.36,119.04,156.24,148.8,126.48,89.28,89.28,141.36,133.92,96.72,52.08,59.52,59.52
4/15/2006,2006,4,237.6,216,172.8,165.6,244.8,122.4,144,151.2,100.8,86.4,129.6,122.4,108,43.2,93.6,158.4,158.4,100.8,57.6,50.4,50.4
5/15/2006,2006,5,66.96,44.64,22.32,22.32,29.76,14.88,22.32,22.32,14.88,22.32,29.76,29.76,29.76,29.76,14.88,22.32,14.88,7.44,7.44,7.44,7.44
6/15/2006,2006,6,14.4,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2006,2006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2006,2006,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2006,2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2006,2006,10,0,7.44,7.44,0,0,7.44,0,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,14.88,14.88,7.44
11/15/2006,2006,11,122.4,100.8,72,64.8,93.6,43.2,43.2,43.2,36,21.6,36,28.8,14.4,7.2,0,7.2,7.2,0,0,0,0
12/15/2006,2006,12,200.88,178.56,141.36,126.48,193.44,81.84,89.28,81.84,66.96,59.52,74.4,74.4,59.52,29.76,29.76,52.08,44.64,37.2,14.88,22.32,29.76
1/15/2007,2007,1,22.32,22.32,14.88,7.44,22.32,0,7.44,14.88,7.44,22.32,22.32,22.32,14.88,14.88,14.88,14.88,14.88,14.88,7.44,7.44,14.88
2/15/2007,2007,2,215.04,208.32,174.72,174.72,262.08,120.96,141.12,134.4,107.52,80.64,114.24,94.08,73.92,33.6,40.32,73.92,73.92,53.76,26.88,26.88,33.6
3/15/2007,2007,3,7.44,14.88,14.88,7.44,22.32,0,7.44,7.44,7.44,7.44,14.88,14.88,7.44,0,14.88,22.32,22.32,22.32,7.44,14.88,7.44
4/15/2007,2007,4,64.8,64.8,57.6,57.6,72,43.2,50.4,43.2,36,21.6,36,28.8,21.6,14.4,14.4,14.4,14.4,14.4,7.2,14.4,14.4
5/15/2007,2007,5,22.32,14.88,14.88,14.88,22.32,7.44,14.88,7.44,7.44,0,7.44,7.44,7.44,0,0,0,0,0,0,0,0
6/15/2007,2007,6,7.2,7.2,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2007,2007,7,22.32,14.88,7.44,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2007,2007,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2007,2007,9,7.2,14.4,7.2,7.2,21.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0,7.2,7.2
10/15/2007,2007,10,89.28,66.96,44.64,44.64,59.52,37.2,37.2,29.76,29.76,22.32,29.76,29.76,22.32,14.88,14.88,14.88,14.88,14.88,7.44,7.44,7.44
11/15/2007,2007,11,28.8,14.4,7.2,7.2,0,21.6,14.4,21.6,14.4,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0
12/15/2007,2007,12,156.24,163.68,148.8,133.92,186,96.72,111.6,96.72,66.96,52.08,81.84,81.84,66.96,37.2,44.64,59.52,66.96,52.08,22.32,22.32,22.32
1/15/2008,2008,1,275.28,282.72,290.16,252.96,275.28,223.2,208.32,186,178.56,133.92,156.24,156.24,141.36,96.72,81.84,119.04,111.6,81.84,59.52,52.08,66.96
2/15/2008,2008,2,90.48,83.52,69.6,62.64,90.48,55.68,55.68,62.64,55.68,48.72,62.64,62.64,55.68,34.8,34.8,62.64,62.64,48.72,20.88,20.88,27.84
3/15/2008,2008,3,37.2,29.76,22.32,22.32,44.64,22.32,14.88,22.32,14.88,7.44,14.88,14.88,14.88,7.44,7.44,14.88,14.88,7.44,0,0,7.44
4/15/2008,2008,4,28.8,21.6,7.2,7.2,21.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0,7.2,14.4,14.4,7.2,0,0,7.2
5/15/2008,2008,5,22.32,7.44,0,0,7.44,0,0,0,0,0,7.44,7.44,7.44,7.44,7.44,7.44,14.88,7.44,7.44,7.44,7.44
6/15/2008,2008,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2008,2008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2008,2008,8,7.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2008,2008,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2008,2008,10,59.52,52.08,29.76,29.76,44.64,29.76,22.32,22.32,22.32,14.88,14.88,14.88,7.44,7.44,7.44,7.44,7.44,7.44,0,0,0
11/15/2008,2008,11,86.4,72,64.8,72,79.2,79.2,72,79.2,64.8,43.2,57.6,57.6,50.4,28.8,28.8,43.2,43.2,36,28.8,28.8,36
12/15/2008,2008,12,96.72,81.84,52.08,66.96,104.16,44.64,59.52,59.52,52.08,52.08,59.52,59.52,59.52,44.64,37.2,52.08,52.08,44.64,22.32,29.76,37.2
1/15/2009,2009,1,59.52,59.52,52.08,59.52,96.72,52.08,59.52,66.96,52.08,59.52,74.4,81.84,59.52,37.2,14.88,37.2,37.2,22.32,7.44,7.44,14.88
2/15/2009,2009,2,201.6,201.6,174.72,154.56,188.16,134.4,127.68,114.24,120.96,87.36,100.8,94.08,73.92,53.76,53.76,73.92,67.2,60.48,53.76,53.76,53.76
3/15/2009,2009,3,74.4,81.84,74.4,74.4,111.6,59.52,59.52,59.52,52.08,37.2,52.08,37.2,37.2,14.88,7.44,22.32,22.32,14.88,7.44,7.44,14.88
